종목명,종목코드,현재가,시가총액,매출성장률,순이익률,부채비율,PER,PBR,평가점수,종합평가,평가이유
진양제약,007370,6120,79567503120.0,,,,,,0,주의 필요,
네이처셀,007390,15770,1014912350120.0,,,,,,0,주의 필요,
에이프로젠,007460,749,233558180324.0,,,,,,0,주의 필요,
와이엠,007530,2220,49404392820.0,,,,,,0,주의 필요,
샘표,007540,42200,121358760000.0,,,,,,0,주의 필요,
일양약품,007570,10800,206125171200.0,,,,,,0,주의 필요,
일양약품우,007575,11500,5118420000.0,,,,,,0,주의 필요,
동방아그로,007590,6030,82113989310.0,,,,,,0,주의 필요,
선도전기,007610,3000,54000000000.0,,,,,,0,주의 필요,
이수페타시스,007660,40300,2548830685700.0,,,,,,0,주의 필요,
대원,007680,4035,54256522590.0,,,,,,0,주의 필요,
국도화학,007690,30400,273922726400.0,,,,,,0,주의 필요,
F&F홀딩스,007700,12550,490885305850.0,,,,,,0,주의 필요,
대명소노시즌,007720,904,91123606800.0,,,,,,0,주의 필요,
한일화학,007770,10630,37311300000.0,,,,,,0,주의 필요,
코리아써키트,007810,11930,281795559430.0,,,,,,0,주의 필요,
코리아써우,007815,5750,17046967500.0,,,,,,0,주의 필요,
코리아써키트2우B,00781K,5200,4075234800.0,,,,,,0,주의 필요,
에스엠코어,007820,4580,91755472680.0,,,,,,0,주의 필요,
서연,007860,7740,181733992560.0,,,,,,0,주의 필요,
TP,007980,1345,68830549850.0,,,,,,0,주의 필요,
사조동아원,008040,1035,146084661000.0,,,,,,0,주의 필요,
대덕,008060,7130,241636769500.0,,,,,,0,주의 필요,
대덕1우,00806K,7280,8825958960.0,,,,,,0,주의 필요,
대동전자,008110,15040,157776322880.0,,,,,,0,주의 필요,
이건산업,008250,5090,55748912150.0,,,,,,0,주의 필요,
NI스틸,008260,3495,99957408915.0,,,,,,0,주의 필요,
원풍물산,008290,453,18434236587.0,,,,,,0,주의 필요,
남선알미늄,008350,1370,176838353300.0,,,,,,0,주의 필요,
남선알미우,008355,14400,4433616000.0,,,,,,0,주의 필요,
원풍,008370,4035,48420000000.0,,,,,,0,주의 필요,
문배철강,008420,2600,53309113000.0,,,,,,0,주의 필요,
