"종목코드","종목명","시장구분","종가","시가총액","기준일","EPS","선행EPS","BPS","주당배당금","종목구분"
"405920","나라셀라","KOSDAQ","2685","34577634060.0","20250317","","","5593.0","80.0","보통주"
"406820","뷰티스킨","KOSDAQ","12940","45730477600.0","20250317","","","9930.0","0.0","보통주"
"407400","꿈비","KOSDAQ","8450","104737327500.0","20250317","","","3025.0","0.0","보통주"
"408900","스튜디오미르","KOSDAQ","3520","115125591680.0","20250317","80.0","","1170.0","0.0","보통주"
"408920","메쎄이상","KOSDAQ","2155","93165940525.0","20250317","126.0","","1373.0","50.0","보통주"
"411080","샌즈랩","KOSDAQ","8510","129765909380.0","20250317","33.0","","2981.0","0.0","보통주"
"412350","레이저쎌","KOSDAQ","3765","32857049580.0","20250317","","","4211.0","0.0","보통주"
"412540","제일엠앤에스","KOSDAQ","7010","144410661650.0","20250317","","","3177.0","0.0","보통주"
"413390","엠오티","KOSDAQ","10450","121012881000.0","20250317","271.0","","3418.0","0.0","보통주"
"413630","씨피시스템","KOSDAQ","1596","60964041516.0","20250317","","141.0","","0.0","보통주"
"413640","비아이매트릭스","KOSDAQ","11000","79276340000.0","20250317","","","3804.0","0.0","보통주"
"415380","스튜디오삼익","KOSDAQ","8000","33803984000.0","20250317","649.0","","5806.0","0.0","보통주"
"415640","KB발해인프라","KOSPI","7370","903160688760.0","20250317","","","","","기타"
"416180","신성에스티","KOSDAQ","35400","320008141200.0","20250317","1229.0","","10776.0","200.0","보통주"
"417010","나노팀","KOSDAQ","6900","136097863200.0","20250317","259.0","","2600.0","0.0","보통주"
"417180","핑거스토리","KOSDAQ","2285","38425037565.0","20250317","126.0","","1439.0","0.0","보통주"
"417200","LS머트리얼즈","KOSDAQ","12610","853100029990.0","20250317","214.0","","2668.0","22.0","보통주"
"417310","코람코더원리츠","KOSPI","4910","198364000000.0","20250317","","","","","리츠"
"417500","제이아이테크","KOSDAQ","3485","114254832840.0","20250317","114.0","","1976.0","0.0","보통주"
"417790","트루엔","KOSDAQ","10030","110326489500.0","20250317","1092.0","1584.0","8317.0","200.0","보통주"
"417840","저스템","KOSDAQ","8720","63212806000.0","20250317","","","6945.0","0.0","보통주"
"417860","오브젠","KOSDAQ","8280","36685483920.0","20250317","","","2101.0","0.0","보통주"
"417970","모델솔루션","KOSDAQ","11880","75992796000.0","20250317","167.0","","9618.0","40.0","보통주"
"418210","신한제10호스팩","KOSDAQ","2110","7722600000.0","20250317","","","","0.0","스팩"
"418250","시큐레터","KOSDAQ","6550","52279100100.0","20250317","","","2139.0","0.0","보통주"
"418420","라온텍","KOSDAQ","2825","85056323225.0","20250317","","","726.0","0.0","보통주"
"418470","밀리의서재","KOSDAQ","13290","112955550810.0","20250317","2060.0","","6881.0","0.0","보통주"
"418550","제이오","KOSDAQ","10880","348352282240.0","20250317","608.0","","4585.0","0.0","보통주"
"418620","이에이트","KOSDAQ","3685","35562007745.0","20250317","","","","0.0","보통주"
"419050","삼기이브이","KOSDAQ","1601","91571180240.0","20250317","84.0","","1262.0","0.0","보통주"
"419080","엔젯","KOSDAQ","9430","99632448110.0","20250317","30.0","","4588.0","0.0","보통주"
"419120","산돌","KOSDAQ","6880","53487362880.0","20250317","427.0","","7281.0","180.0","보통주"
"419530","SAMG엔터","KOSDAQ","28400","243982412000.0","20250317","","1985.0","5718.0","0.0","보통주"
"419540","비스토스","KOSDAQ","1618","37201882798.0","20250317","35.0","","806.0","0.0","보통주"
"420570","제이투케이바이오","KOSDAQ","12950","74239850650.0","20250317","1001.0","","3533.0","0.0","보통주"
"420770","기가비스","KOSDAQ","29650","375836224700.0","20250317","2752.0","","16773.0","800.0","보통주"
"424760","벨로크","KOSDAQ","817","16066306634.0","20250317","","","1329.0","0.0","보통주"
"424960","스마트레이더시스템","KOSDAQ","11950","187344213000.0","20250317","","","1426.0","0.0","보통주"
"424980","마이크로투나노","KOSDAQ","6280","37170629200.0","20250317","","","5650.0","0.0","보통주"
"425040","티이엠씨","KOSDAQ","8000","170528496000.0","20250317","1077.0","844.0","8292.0","700.0","보통주"
"425420","티에프이","KOSDAQ","19550","222498550000.0","20250317","976.0","","6259.0","0.0","보통주"
"429270","시지트로닉스","KOSDAQ","4300","19376875000.0","20250317","","","6432.0","0.0","보통주"
"430220","신영스팩8호","KOSDAQ","2110","14263600000.0","20250317","","","","0.0","스팩"
"430690","한싹","KOSDAQ","5000","54476635000.0","20250317","375.0","","3263.0","0.0","보통주"
"431190","케이쓰리아이","KOSDAQ","4500","33688989000.0","20250317","211.0","","1946.0","0.0","보통주"
"432320","KB스타리츠","KOSPI","3760","381317711600.0","20250317","","","","","리츠"
"432430","와이랩","KOSDAQ","6000","98641920000.0","20250317","","","2006.0","0.0","보통주"
"432470","케이엔에스","KOSDAQ","12900","111901772400.0","20250317","502.0","","5674.0","0.0","보통주"
"432720","퀄리타스반도체","KOSDAQ","16560","230667419520.0","20250317","","","2430.0","0.0","보통주"
"432980","엠에프씨","KOSDAQ","4165","35784605430.0","20250317","","","","0.0","보통주"
"434480","모니터랩","KOSDAQ","4330","53056789000.0","20250317","","","2895.0","0.0","보통주"
"435380","유안타제10호스팩","KOSDAQ","2110","12090300000.0","20250317","","","","0.0","스팩"
"435570","에르코스","KOSDAQ","7810","54824278740.0","20250317","","","","0.0","보통주"
"435620","하나금융25호스팩","KOSDAQ","10550","45386100000.0","20250317","","","","0.0","스팩"
"435870","에스케이증권제8호스팩","KOSDAQ","2110","7849200000.0","20250317","","","","0.0","스팩"
"437730","삼현","KOSDAQ","12770","404905630590.0","20250317","369.0","","1899.0","0.0","보통주"
"437780","엔에이치스팩24호","KOSDAQ","2120","10663600000.0","20250317","","","","0.0","스팩"
"438580","엔에이치스팩25호","KOSDAQ","2130","6432600000.0","20250317","","","","0.0","스팩"
"438700","버넥트","KOSDAQ","3560","39675808400.0","20250317","","","4056.0","0.0","보통주"
"439090","마녀공장","KOSDAQ","19020","311514505200.0","20250317","749.0","","5925.0","0.0","보통주"
"439250","삼성스팩7호","KOSDAQ","10550","36946100000.0","20250317","","","","0.0","스팩"
"439410","엔에이치스팩26호","KOSDAQ","2125","18700000000.0","20250317","","","","0.0","스팩"
"439580","블루엠텍","KOSDAQ","11080","123766048680.0","20250317","","","4264.0","0.0","보통주"
"439730","IBKS제20호스팩","KOSDAQ","2110","9094100000.0","20250317","","","","0.0","스팩"
"440110","파두","KOSDAQ","14020","692709875860.0","20250317","","","3798.0","0.0","보통주"
"440290","HB인베스트먼트","KOSDAQ","1746","47328839460.0","20250317","444.0","","2922.0","0.0","보통주"
"440320","오픈놀","KOSDAQ","8190","80302950000.0","20250317","155.0","","3828.0","0.0","보통주"
"440790","교보13호스팩","KOSDAQ","2160","8748000000.0","20250317","","","","0.0","스팩"
"440820","엔에이치스팩27호","KOSDAQ","2105","16419000000.0","20250317","","","","0.0","스팩"
"441270","파인엠텍","KOSDAQ","5310","196405754310.0","20250317","299.0","619.0","4077.0","0.0","보통주"
"442130","유진스팩9호","KOSDAQ","2120","7335200000.0","20250317","","","","0.0","스팩"
"442310","대신밸런스제14호스팩","KOSDAQ","2125","14258750000.0","20250317","","","","0.0","스팩"
"442770","IBKS제21호스팩","KOSDAQ","2160","9093600000.0","20250317","","","","0.0","스팩"
"442900","미래에셋드림스팩1호","KOSDAQ","10230","78566400000.0","20250317","","","","0.0","스팩"
